School Name,Type,City,State
Amara Jyothi Public School,PUBLIC,HYDERABAD,Telangana
Amrita Vidyalayam,PUBLIC,HYDERABAD,Telangana
Anand Bagh Public School,PUBLIC,HYDERABAD,Telangana
Annai Play Nursery School,PUBLIC,HYDERABAD,Telangana
Apricot High School,PUBLIC,HYDERABAD,Telangana
Azra Public School,PUBLIC,HYDERABAD,Telangana
Bashyam Public School,PUBLIC,HYDERABAD,Telangana
Bharatiya Vidya Bhavan's Public School,PUBLIC,HYDERABAD,Telangana
Bharatiya Vidya Vikas Public School,PUBLIC,HYDERABAD,Telangana
Bhartiya Vidya Bhavan's Vidyashram Public School,PUBLIC,HYDERABAD,Telangana
Bhavans Public School,PUBLIC,HYDERABAD,Telangana
Bhavya Public School,PUBLIC,HYDERABAD,Telangana
Bhega's High School,PUBLIC,HYDERABAD,Telangana
Bishop Cotton Public School,PUBLIC,HYDERABAD,Telangana
Blue Diamond School,PUBLIC,HYDERABAD,Telangana
Bodhiruksh Pre Primary School,PUBLIC,HYDERABAD,Telangana
Boopathi Public School,PUBLIC,HYDERABAD,Telangana
Buds & Flowers High School,PUBLIC,HYDERABAD,Telangana
C.a.l. Public School,PUBLIC,HYDERABAD,Telangana
C.r.p.f Public School,PUBLIC,HYDERABAD,Telangana
C.r.p.f. School,PUBLIC,HYDERABAD,Telangana
Centenary Public School,PUBLIC,HYDERABAD,Telangana
Central Public School,PUBLIC,HYDERABAD,Telangana
Chinmaya Vidyalaya,PUBLIC,HYDERABAD,Telangana
Chirec Public School,PUBLIC,HYDERABAD,Telangana
City Public School,PUBLIC,HYDERABAD,Telangana
Comford Public School,PUBLIC,HYDERABAD,Telangana
Crystal Public School,PUBLIC,HYDERABAD,Telangana
D.a.v. Public School,PUBLIC,HYDERABAD,Telangana
Daffodils High School,PUBLIC,HYDERABAD,Telangana
Deccan Public School,PUBLIC,HYDERABAD,Telangana
Delhi Public School,PUBLIC,HYDERABAD,Telangana
Dilsukhnagar Public School,PUBLIC,HYDERABAD,Telangana
Emanuel Public School,PUBLIC,HYDERABAD,Telangana
Evergreen Public Svhool,PUBLIC,HYDERABAD,Telangana
Glendale Academy,PUBLIC,HYDERABAD,Telangana
Green Birds High School,PUBLIC,HYDERABAD,Telangana
Guntur Sree Venus Public School,PUBLIC,HYDERABAD,Telangana
Guru Harkrishan Public School,PUBLIC,HYDERABAD,Telangana
Gyan Vatika School,PUBLIC,HYDERABAD,Telangana
H.a.l.senior Secondary School,PUBLIC,HYDERABAD,Telangana
Harward Public School,PUBLIC,HYDERABAD,Telangana
Hindu Public School,PUBLIC,HYDERABAD,Telangana
Hi-tech Modern Residential High School,PUBLIC,HYDERABAD,Telangana
Howard Public School,PUBLIC,HYDERABAD,Telangana
I.s.r.a. High School,PUBLIC,HYDERABAD,Telangana
Indira Public School,PUBLIC,HYDERABAD,Telangana
Jain Public School,PUBLIC,HYDERABAD,Telangana
Josephs Public School,PUBLIC,HYDERABAD,Telangana
Jubilee Hills Public School,PUBLIC,HYDERABAD,Telangana
Jupiter High School,PUBLIC,HYDERABAD,Telangana
Kamla Rani Sanghi Public School,PUBLIC,HYDERABAD,Telangana
