School Name,Type,District,State
Saviour Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Shree Hanuman Vyayam Shala Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Shri Gujarati Vidya Mandir,PUBLIC,HYDERABAD,Andhra Pradesh
Shri Hanuman Vyayam Shala Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Silver Drop High School,PUBLIC,HYDERABAD,Andhra Pradesh
Sivani Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Sri Poojitha Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Sri Sai Grammar High School,PUBLIC,HYDERABAD,Andhra Pradesh
Sri Sai Public School,PUBLIC,HYDERABAD,Andhra Pradesh
St. George's Girls' Grammar School,PUBLIC,HYDERABAD,Andhra Pradesh
St. Joseph Public School,PUBLIC,HYDERABAD,Andhra Pradesh
St. Mary's Public School,PUBLIC,HYDERABAD,Andhra Pradesh
St. Peter's Central Public School,PUBLIC,HYDERABAD,Andhra Pradesh
St. Xavier's Upper Primary School,PUBLIC,HYDERABAD,Andhra Pradesh
Subrahmanya Model High School,PUBLIC,HYDERABAD,Andhra Pradesh
Sujatha Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Sultan-ul-uloom Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Swarnandhra Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Takshashila Public School,PUBLIC,HYDERABAD,Andhra Pradesh
The Hyderabad Public School,PUBLIC,HYDERABAD,Andhra Pradesh
The Secundrabad High School,PUBLIC,HYDERABAD,Andhra Pradesh
Trinity Public School,PUBLIC,HYDERABAD,Andhra Pradesh
United Public School,PUBLIC,HYDERABAD,Andhra Pradesh
V.r.s. And V.j. Residential School,PUBLIC,HYDERABAD,Andhra Pradesh
Vasavi Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Veda School,PUBLIC,HYDERABAD,Andhra Pradesh
Vidyanjali Co Education Eng. Med. School,PUBLIC,HYDERABAD,Andhra Pradesh
Vidyanjali High School,PUBLIC,HYDERABAD,Andhra Pradesh
Vidyaranya High School For Boys & Girls,PUBLIC,HYDERABAD,Andhra Pradesh
Vidyashram Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Vidyavani Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Vignana Jyothi Public School,PUBLIC,HYDERABAD,Andhra Pradesh
Vijay High School,PUBLIC,HYDERABAD,Andhra Pradesh
Vikas School,PUBLIC,HYDERABAD,Andhra Pradesh
Vikasa The Concepts School,PUBLIC,HYDERABAD,Andhra Pradesh
Visaka Central School,PUBLIC,HYDERABAD,Andhra Pradesh
Wesley Centenary High School,PUBLIC,HYDERABAD,Andhra Pradesh
Wisdom High School,PUBLIC,HYDERABAD,Andhra Pradesh
Abc Montessori,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
Bachpan Pre School,PRE,HYDERABAD,Andhra Pradesh
